src_ip,dst_ip,protocol,timestamp,length,src_port,dst_port,protocol_type
192.168.0.123,35.186.224.40,6,1722604356.321117,54,52635.0,443.0,TCP
192.168.0.123,35.186.224.40,6,1722604358.018517,82,52427.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722604358.070383,54,443.0,52427.0,TCP
35.186.224.40,192.168.0.123,6,1722604358.187859,78,443.0,52427.0,TCP
192.168.0.123,35.186.224.40,6,1722604358.235152,54,52427.0,443.0,TCP
192.168.0.123,199.232.214.248,6,1722604359.857302,55,53126.0,443.0,TCP
192.168.0.123,199.232.210.248,6,1722604359.934429,55,53144.0,443.0,TCP
192.168.0.123,199.232.210.248,6,1722604359.934450,55,53145.0,443.0,TCP
199.232.214.248,192.168.0.123,6,1722604359.961688,66,443.0,53126.0,TCP
199.232.210.248,192.168.0.123,6,1722604360.001037,66,443.0,53144.0,TCP
199.232.210.248,192.168.0.123,6,1722604360.003521,66,443.0,53145.0,TCP
192.168.0.123,192.168.0.255,17,1722604363.395770,86,57621.0,57621.0,UDP
192.168.0.145,239.255.255.250,17,1722604368.827825,167,44515.0,1900.0,UDP
192.168.0.145,239.255.255.250,17,1722604368.827825,167,44515.0,1900.0,UDP
192.168.0.145,239.255.255.250,17,1722604368.828385,167,44515.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.524838,307,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.525810,316,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.526466,379,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.527258,316,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.528292,355,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.529178,387,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.529980,316,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.530902,375,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722604372.531582,369,1900.0,1900.0,UDP
192.168.0.123,35.186.224.22,6,1722604372.666410,55,53094.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722604372.718106,66,443.0,53094.0,TCP
192.168.0.123,192.168.0.1,17,1722604374.057097,77,54479.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722604374.057259,77,55214.0,53.0,UDP
192.168.0.123,52.37.252.164,6,1722604374.057443,169,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722604374.057474,100,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722604374.057494,504,53044.0,443.0,TCP
192.168.0.1,192.168.0.123,17,1722604374.100337,182,53.0,54479.0,UDP
192.168.0.1,192.168.0.123,17,1722604374.100972,212,53.0,55214.0,UDP
52.37.252.164,192.168.0.123,6,1722604374.415120,54,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722604374.415120,54,443.0,53044.0,TCP
